CURRUCUCU ZIBATA. 8D2PL9LSNTMG,,,,,,,
Ventas de Productos,,,,,,,
"Lista de Productos en las ventas de entre 8:00 AM, sábado 12 de julio de 2025 y 8:00 AM, lunes 13 de julio de 2026",,,,,,,
"Fecha de exportación: 9:32 AM, miércoles 15 de julio de 2026",,,,,,,
#,ID Alfanumérico,Código (SKU),Nombre,Categoría,Subcategoría,Cantidad, Importe 
118,1619020699156-CON 2 GUISOS,-,Huaraches CON 2 GUISOS,DEL COMAL,-,4, $500.00 
119,0Hw6WZkURZUEL8laqapk,-,Paquete 1,NAVIDAD,-,13," $20,800.00 "
120,c1qAnoYpyV3DX20hkTyM-SIDRAL MUNDET,-,Refrescos SIDRAL MUNDET,Bebidas ,-,8, $355.00 
121,1619020699148-VEGETARIANOS,-,Chilaquiles VEGETARIANOS,MENU ,-,19," $2,845.00 "
122,1619020699151-ESPECIAL CON CECINA O ARRACHERA O CARNITAS,-,Gorditas ESPECIAL CON CECINA O ARRACHERA O CARNITAS,DEL COMAL,-,48," $3,840.00 "
123,JzVxerSQXArPaywxtbKn,-,Pastel de 3 Quesos,POSTRES,-,18," $1,260.00 "
124,i9ysl385qiXsKeFdkd7O,-,CHAMORRO AL PIBIL,ESPECIALES FIN DE SEMANA,-,15," $3,300.00 "
125,xguL4K22SVq91tAyETTD,-,Chilaquiles Con Cecina,-,-,80," $18,919.00 "
126,FPTHXQOzR932BSHzKwDg,-,FILETE DE PESCADO A LA TALLA,NAVIDAD,-,50.5," $15,455.00 "
127,4jF4NOVL8SIQNj79yi7P,-,Papas a La Francesa,EXTRAS,-,55," $3,285.00 "
128,BlTtjJFEOMqrwUSWvXKk,-,FRIJOLES CHARROZ EN SU JUGO,MENU ,-,1, $180.00 
129,RJuP7a3JMQTzwOSD66Co,-,Entrada,PAQUETES ,-,92," $4,600.00 "
130,1619020699140-OMELETTE RELLENO DE CHILAQUILES,-,Huevos OMELETTE RELLENO DE CHILAQUILES,MENU ,-,2, $320.00 
131,ueSovSEeahFYHt1xnR28,-,MENUDO,ESPECIALES FIN DE SEMANA,-,22," $6,010.00 "
132,Mm7H7VoHjvZdu5yfMUaq,-,Nachos de Arrachera,MENU ,-,7," $1,475.00 "
133,SeS3UxHl0b5RWs1OyJ8H,-,LOMO MECHADO,NAVIDAD,-,38," $17,100.00 "
134,4oSpEo7S6P7VrHGDXhVF,-,Fajitas de Arrachera,MENU ,-,3, $795.00 
135,1619020699149-SENCILLOS,-,Tecolota SENCILLOS,MENU ,-,31," $3,410.00 "
136,zboiSpxLJ5ecx0LHd2wA,-,Flautas De Res,-,-,77," $17,037.00 "
137,1619020699142-CON BISTEC,-,Molletes CON BISTEC,MENU ,-,25," $4,575.00 "
138,1619020699140-REVUELTOS,-,Huevos REVUELTOS,MENU ,-,5, $500.00 
139,etKRZrps8XPxYMxpx4Nv,-,Enfrijoladas Oaxaqueñas,-,-,71," $16,817.00 "
140,SwP7Q2haoxpylRPzmSJ1-RANCHERAS,-,Enfrijoladas RANCHERAS,MENU ,-,6," $1,095.00 "
141,1619020699153-ESPECIAL,-,Tacos ESPECIAL,DEL COMAL,-,23," $1,150.00 "
142,ArAyOsyDLUeA6bPPxcck,-,Pastel de Queso con Higo,POSTRES,-,7, $490.00 
143,1619020699149-CON HUEVOS,-,Tecolota CON HUEVOS,MENU ,-,12," $1,670.00 "
144,fzZeQSaLMxRbSgO6lnco,-,Torta De Milanesa,-,-,98," $16,088.00 "
145,Quesadillas,-,Quesadillas,-,-,240," $16,080.00 "
146,iIpIVsvZ0QdbP94po1H7,-,TOSTADAS CON GUISO,DEL COMAL,-,5, $450.00 
147,1619020699142-CON HUEVO,-,Molletes CON HUEVO,MENU ,-,15," $2,185.00 "
148,olgDn9Q9KZvaEM1RUtn9,-,Chilaquiles Del Patrón,-,-,52," $15,296.00 "
149,vBQ2Lpr7sxUv6nb0CbOS,-,Chilaquiles Mayas,-,-,65," $15,193.00 "
150,yqK9edAwyROCvyTdk2ZJ-QUESO,-,Enmoladas QUESO,MENU ,-,37," $5,710.00 "
151,IcaofON9YheLoH94geHr,-,Enchiladas Verdes De Pollo,-,-,70," $15,120.00 "
152,1619020699145-LA DEL CAZO,-,Tortas LA DEL CAZO,MENU ,-,16," $2,850.00 "
153,oGnkTKWQpQpsOK3nibt7,-,Gorditas,-,-,225," $15,075.00 "
154,SwP7Q2haoxpylRPzmSJ1-DEL PATRON,-,Enfrijoladas DEL PATRON,MENU ,-,3, $705.00 
155,KhvEneg6pcVuj6d7q8EI,-,LASAÑA DE CARNE DE RES,NAVIDAD,-,33.5," $13,902.50 "
156,1619020699142-TECOLOTAS SENCILLAS,-,Molletes TECOLOTAS SENCILLAS,MENU ,-,10," $1,473.00 "
157,1619020699168,-,Obleas de Amaranto,POSTRES,-,52," $2,600.00 "
158,jsaGJrrqgh1AIwntdFyp,-,Principal C / Guarnición,PAQUETES ,-,78," $9,360.00 "
159,WKwD2UN8WjmzBc3STZ95,-,Chilaquiles Con Huevo,-,-,84," $14,288.00 "
160,j6lnD3xKqfLdJpMnLB8H,-,PANQUE DE DATIL CON NUEZ,POSTRES,-,6, $480.00 
161,1619020699146-DOBLADITAS VERDES CON ARRACHERA,-,Enchiladas DOBLADITAS VERDES CON ARRACHERA,MENU ,-,1, $200.00 
162,1619020699146-DOBLADITAS VERDES CON CECINA,-,Enchiladas DOBLADITAS VERDES CON CECINA,MENU ,-,23," $4,740.00 "
163,1619020699148-DE CHORIZO,-,Chilaquiles DE CHORIZO,MENU ,-,11," $1,910.00 "
164,DOWidKJ0jBU1ZF0gfGil,-,FRIJOLES CHARROS ORDEN,MENU ,-,19," $2,660.00 "
165,y9hu3EWzzic837bvbjHZ,-,Flautas de Papa,-,-,82," $12,941.00 "
166,1619020699145-CECINA,-,Tortas CECINA,MENU ,-,25," $4,480.00 "
167,qsBr39LxFbNkid7B3EC0-INFANTILES DE POLLO,-,Flautas INFANTILES DE POLLO,MENU ,-,1, $115.00 
168,1619020699145-BISTEC,-,Tortas BISTEC,MENU ,-,65," $9,650.00 "
169,SwP7Q2haoxpylRPzmSJ1-JUANA GALLO,-,Enfrijoladas JUANA GALLO,MENU ,-,2, $450.00 
170,Wmj6XOU3F30JvMeTNT4v,-,FETUCCINI EN SALSA DE QUESO,NAVIDAD,-,42," $12,390.00 "
171,SwP7Q2haoxpylRPzmSJ1-VEGETARIANAS,-,Enfrijoladas VEGETARIANAS,MENU ,-,6, $925.00 
172,c1qAnoYpyV3DX20hkTyM-SPRITE,-,Refrescos SPRITE,Bebidas ,-,6, $255.00 
173,1619020699145-CARNITAS,-,Tortas CARNITAS,MENU ,-,19," $3,420.00 "
174,1619020699149-CON POLLO,-,Tecolota CON POLLO,MENU ,-,9," $1,555.00 "
175,M6Rq1gmbJ2wqh7Yap25d,-,CHAMORRO AL PIBIL,NAVIDAD,-,133," $7,120.00 "
176,adShWrgF57BUayNjFRvf,-,EVENTO MONSTE JUAREZ,GUISOS POR KG,-,4," $11,170.00 "
177,1619020699142-TECOLOTAS CON HUEVO,-,Molletes TECOLOTAS CON HUEVO,MENU ,-,2, $340.00 
178,1619020699149-CON ARRACHERA,-,Tecolota CON ARRACHERA,MENU ,-,5," $1,070.00 "
179,jTMdJAAfLTqTPIBlJe7A,-,Torta Del Cazo,-,-,49," $11,023.00 "
180,8P7HACnKHLjwnZCnYzvv,-,Huevos Con Chorizo,-,-,59," $10,985.00 "
181,1619020699150-INFANTIL DE POLLO,-,Milanesas Y Pechugas INFANTIL DE POLLO,MENU ,-,12," $1,380.00 "
182,1619020699151-CON BISTEC O POLLO O CHORIZO,-,Gorditas CON BISTEC O POLLO O CHORIZO,DEL COMAL,-,24," $1,640.00 "
183,gHkyrOiT4DgXtKwBuhIJ,-,POLLO DESHUESADO,NAVIDAD,-,23," $10,695.00 "
184,yPmwzynvhI8C4FxkunRf,-,Flautas Mixtas,-,-,48," $10,576.00 "
185,x7As80NGnjIvY4Pg2ukO,-,Molletes Sencillos,-,-,62," $10,478.00 "
186,Gorditas_36263,-,Gorditas,-,-,155," $10,465.00 "
187,1619020699156-HUARACHE DE NOPAL CON CECINA,-,Huaraches HUARACHE DE NOPAL CON CECINA,DEL COMAL,-,2, $370.00 
188,1619020699152-INFANTILES SENCILLOS (3),-,Sopes INFANTILES SENCILLOS (3),DEL COMAL,-,62," $5,490.00 "
189,pk7e51ajojBz2DVniIoo,-,Enfrijoladas Con Pollo,-,-,48," $10,368.00 "
190,1619020699148-CON MILANESA DE RES O POLLO,-,Chilaquiles CON MILANESA DE RES O POLLO,MENU ,-,14," $2,540.00 "
191,lrS5J9K8e0pW2VZgVXh1,-,GUACAMOLE,EXTRAS,-,6, $420.00 
192,1619020699151-MIXTA SENCILLA,-,Gorditas MIXTA SENCILLA,DEL COMAL,-,38," $1,975.00 "
193,RkBVIiC4Ubk5g9ThOy4m,-,Huevos a La Mexicana,-,-,71," $9,916.00 "
194,1619020699142-CON POLLO,-,Molletes CON POLLO,MENU ,-,3, $540.00 
195,Hh0N4asDc7d6zxOxk4Pw,-,Huevos Con Jamón,-,-,59," $9,805.00 "
196,1619020699145-DE CHORIZO,-,Tortas DE CHORIZO,MENU ,-,27," $4,200.00 "
197,jA0Fu65HN982AYJ3TKKO,-,PAQUETE 3,NAVIDAD,-,7," $8,400.00 "
198,LgVO1bpIFHx3E62OCUOw,-,ENCHILADAS SUIZAS DE CAMARON,NAVIDAD,-,12," $2,610.00 "
199,1619020699156-HUARACHE DE NOPAL CON BISTEC,-,Huaraches HUARACHE DE NOPAL CON BISTEC,DEL COMAL,-,2, $350.00 
200,1619020699156-HUARACHE DE NOPAL CON POLLO,-,Huaraches HUARACHE DE NOPAL CON POLLO,DEL COMAL,-,2, $350.00 
201,lqBbx5uoffDhrNMjjlsx,-,Chilaquiles Arrieros,-,-,40," $9,286.00 "
202,1619020699146-BISTEC,-,Enchiladas BISTEC,MENU ,-,1, $170.00 
203,1619020699154-ORDEN MILANESA DE RES O POLLO,-,Tacos ORDEN MILANESA DE RES O POLLO,MENU ,-,2, $300.00 
204,1619020699152-INFANTILES CON POLLO (3),-,Sopes INFANTILES CON POLLO (3),DEL COMAL,-,6, $800.00 
205,zcCOiJREsVJjJjmZnMJR-JUEVES POZOLERO (POLLO O CERDO),-,COMBO CURRU JUEVES POZOLERO (POLLO O CERDO),PAQUETES ,-,13," $1,950.00 "
206,1619020699154-ORDEN ARRACHERA,-,Tacos ORDEN ARRACHERA,MENU ,-,7," $1,260.00 "
207,1619020699140-INFANTIL CON JAMÓN O TOCINO,-,Huevos INFANTIL CON JAMÓN O TOCINO,MENU ,-,," $8,925.00 "
208,cDOu9zXVilEPeqZqBpPe-TE,-,Cafe TE,Bebidas ,-,," $8,840.00 "
209,ILtN9PT4p3dXgXuPiEEV-DEL PATRON,-,CHILAQUILES DEL PATRON, ANAHUAC,-,1, $199.00 
210,epbDWFLo37vqXURQSvGe,-,CHAMORROS AL PIBIL,MENU ,-,10," $2,200.00 "
211,1619020699142-TECOLOTAS CON CECINA,-,Molletes TECOLOTAS CON CECINA,MENU ,-,5," $1,150.00 "
212,9pkEXghxcivPiSOBuXQ7-Infantil,-,Consome de Pollo Infantil,MENU ,-,18, $900.00 
213,0AHpL29r0zbBw74xapdb-ARRACHERA,-,TACOS VILLAMELON ARRACHERA,MENU ,-,9," $1,620.00 "
214,0AHpL29r0zbBw74xapdb-CECINA,-,TACOS VILLAMELON CECINA,MENU ,-,5, $900.00 
215,1619020699150-INFANTIL DE MILANESA DE RES O POLLO,-,Milanesas Y Pechugas INFANTIL DE MILANESA DE RES O POLLO,MENU ,-,7, $840.00 
216,mPU2mHzBljdVKjP0OBnN,-,TAMPIQUEÑA DE FILETE DE RES (150 GRAMOS),NAVIDAD,-,8," $1,935.00 "
217,pxV3Po7sTpQK8pmyHJTD,-,Orden de Arroz,EXTRAS,-,56," $2,800.00 "
218,KiEHdHFF6blUTMfV5tsa,-,Chilaquiles Arrachera,-,-,34," $8,212.00 "
219,1619020699149-DEL PATRON,-,Tecolota DEL PATRON,MENU ,-,2, $465.00 
220,Flautas_de_pollo,-,Flautas de pollo,-,-,43," $8,127.00 "
221,"zcCOiJREsVJjJjmZnMJR-VIERNES DE FLAUTAS(POLLO,RES O MIXTAS)",-,"COMBO CURRU VIERNES DE FLAUTAS(POLLO,RES O MIXTAS)",PAQUETES ,-,5, $750.00 
222,1619020699146-DOBLADITAS ROJAS CON COSTILLA,-,Enchiladas DOBLADITAS ROJAS CON COSTILLA,MENU ,-,," $7,905.00 "
