CURRUCUCU ZIBATA. 8D2PL9LSNTMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historial de ventas del domingo 12 de julio de 2026 al lunes 13 de julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fecha de exportación: 10:22 AM, miércoles 15 de julio de 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Venta Único,ID Artículo,ID de Cliente,Cliente,Teléfono Cliente,Código (SKU),Descripción Artículo,ID Categoría,Categoría,ID Subcategoría,Subcategoría,Cantidad Artículo, Importe Artículo ,ID Venta Numérico,Referencia,Estatus,Tipo de Venta,Artículos Total, Total Venta , Pago Total Venta , Pago Efectivo Venta , Pago Tarjetas Venta , Cambio Venta , Propina Venta ,Cierre de Venta,Registró Venta,Mesa Venta,Mesero Venta,Tipo de Servicio Venta, Descuento (Cortesía) 
2026-07-12_servicioEntrega,1619020699150-MILANESA DE POLLO,,,,-,Milanesas Y Pechugas MILANESA DE POLLO,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $160.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,gbOah8De7GNBMzoTw88H-GRANDE DE CERDO,,,,-,Pozole GRANDE DE CERDO,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $190.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,qsBr39LxFbNkid7B3EC0-DE POLLO,,,,-,Flautas DE POLLO,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $170.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_cuentaCliente,1619020699140-A LA MEXICANA,,,,-,Huevos A LA MEXICANA,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,7, $805.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,cDOu9zXVilEPeqZqBpPe-AMERICANO,,,,-,Cafe AMERICANO,p2BB5iBeK3h0r5Ka8bzm,Bebidas ,-,-,12, $480.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,ZbPjIqLoSMpqimpCnQfP,,,,-,Tortillas (docena),yqKUFZNrxtzpzD0ej8pF,EXTRAS,-,-,1, $35.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699140-INFANTIL ESTRELLADOS O REVUELTOS,,,,-,Huevos INFANTIL ESTRELLADOS O REVUELTOS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,3, $270.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699140-CON JAMÓN,,,,-,Huevos CON JAMÓN,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,5, $650.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699140-RANCHEROS,,,,-,Huevos RANCHEROS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,10," $1,300.00 ",,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699140-OMELETTE DE JAMÓN Y QUESO,,,,-,Huevos OMELETTE DE JAMÓN Y QUESO,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,3, $435.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699148-MAYAS,,,,-,Chilaquiles MAYAS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,3, $540.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,c1qAnoYpyV3DX20hkTyM-COCA COLA LIGHT,,,,-,Refrescos COCA COLA LIGHT,p2BB5iBeK3h0r5Ka8bzm,Bebidas ,-,-,2, $90.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699159,,,,-,Jugo de Naranja Fresco,p2BB5iBeK3h0r5Ka8bzm,Bebidas ,-,-,39," $2,340.00 ",,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699155-SENCILLA,,,,-,Quesadillas SENCILLA,YQIH7dRsprDKo7czQeKH,COMAL,-,-,10, $450.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699155-CON 1 GUISO,,,,-,Quesadillas CON 1 GUISO,YQIH7dRsprDKo7czQeKH,COMAL,-,-,32," $1,760.00 ",,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
2026-07-12_cuentaCliente,1619020699140-OMELETTE DE CHAMPIÑONES O FLOR DE CALABAZA O HUITLACOCHE,,,,-,Huevos OMELETTE DE CHAMPIÑONES O FLOR DE CALABAZA O HUITLACOCHE,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $145.00 ,,,Completada,Cuenta de Mesa,551," $47,746.00 "," $52,939.00 "," $25,445.00 "," $26,899.00 "," $5,193.00 "," $2,796.90 ","5:14 PM, domingo 12 de julio de 2026",,,,, $31.00 
